Restult of Experiments
Exp nr.	Rep	Model	nScen	sd	Mtime	Gap	nNodes	Rtime	fcuts	ocuts	obj	TIC
0	0	1	25	0.1	300.0	0.0	0.0	1.429	0	0	5.3222382673E8	0
0	1	1	25	0.1	300.0	0.0	0.0	1.32	0	0	5.4134995911E8	0
0	2	1	25	0.1	300.0	0.0	0.0	1.259	0	0	5.2074496545E8	0
1	0	1	50	0.1	300.0	0.0	0.0	3.056	0	0	5.2209069261E8	0
1	1	1	50	0.1	300.0	0.0	0.0	3.16	0	0	5.264101648E8	0
1	2	1	50	0.1	300.0	0.0	0.0	3.172	0	0	5.1658842949E8	0
2	0	1	100	0.1	300.0	0.0	0.0	7.417	0	0	5.2366663813E8	0
2	1	1	100	0.1	300.0	0.0	0.0	7.458	0	0	5.2141575023E8	0
2	2	1	100	0.1	300.0	0.0	0.0	7.34	0	0	5.2511655943E8	0
0	0	1	200	0.1	300.0	0.0	0.0	19.54	0	0	5.1544787852E8	0
0	1	1	200	0.1	300.0	0.0	0.0	19.018	0	0	5.2334493287E8	0
0	2	1	200	0.1	300.0	0.0	0.0	19.167	0	0	5.2031747892E8	0
1	0	1	300	0.1	300.0	0.0	0.0	33.602	0	0	5.1881695093E8	0
1	1	1	300	0.1	300.0	0.0	0.0	33.93	0	0	5.2067496528E8	0
1	2	1	300	0.1	300.0	0.0	0.0	32.908	0	0	5.2028665787E8	0

0	0	2	25	0.1	300.0	0.0	1.0	40.097	30	3	5.3222382673E8	40.028
0	1	2	25	0.1	300.0	0.0	1.0	38.865	30	3	5.4134995911E8	38.822
0	2	2	25	0.1	300.0	0.0	1.0	38.553	30	3	5.2074496545E8	38.502
1	0	2	50	0.1	300.0	0.0	1.0	85.157	30	3	5.2209069261E8	85.105
1	1	2	50	0.1	300.0	0.0	1.0	86.146	30	3	5.264101648E8	86.101
1	2	2	50	0.1	300.0	0.0	1.0	83.562	30	3	5.1658842949E8	83.515
2	0	2	100	0.1	300.0	0.0	1.0	186.177	30	3	5.2366663813E8	186.128
2	1	2	100	0.1	300.0	0.0	1.0	191.857	30	4	5.2141575023E8	191.81
2	2	2	100	0.1	300.0	0.0	1.0	188.034	30	3	5.2511655943E8	187.991
0	0	2	200	0.1	300.0	-100.0	0.0	315.435	30	1	-1.0	315.375
0	1	2	200	0.1	300.0	-100.0	0.0	314.363	30	1	-1.0	314.314
0	2	2	200	0.1	300.0	-100.0	0.0	316.297	30	1	-1.0	316.251
1	0	2	300	0.1	300.0	-100.0	0.0	314.52	22	0	-1.0	314.499
1	1	2	300	0.1	300.0	-100.0	0.0	311.995	22	0	-1.0	311.982
1	2	2	300	0.1	300.0	-100.0	0.0	310.414	22	0	-1.0	310.398

0	0	3	25	0.1	300.0	0.0	1.0	27.787	750	3	5.3222382673E8	27.707
0	1	3	25	0.1	300.0	0.0	1.0	26.136	750	3	5.4134995911E8	26.089
